Time  68 :  Santa John  giving to children: whistle boy
Time  68 :  Santa John  giving to children: whistle boy
Time  69 :  Santa John  giving to children: whistle girl
Time  69 :  Santa John  giving to children: bracelet girl
Time  70 :  Santa John  giving to children: train girl
Time  71 :  Santa John  giving to children: bracelet girl
Time  71 :  Santa John  giving to children: fake tattoo boy
Time  71 :  Santa John  giving to children: fake tattoo boy
Time: 72 :  Santa John  Walking to toy department
Time  72 :  Santa John  retrieving from sleigh: fake tattoo boy
Time  72 :  Santa John  retrieving from sleigh: whistle girl
Time  72 :  Santa John  retrieving from sleigh: fake tattoo boy
Time  72 :  Santa John  retrieving from sleigh: whistle girl
Time  72 :  Santa John  retrieving from sleigh: dinosaur boy
Time  72 :  Santa John  retrieving from sleigh: fake tattoo boy
Time  72 :  Santa John  retrieving from sleigh: whistle girl
Time  72 :  Santa John  retrieving from sleigh: fake tattoo boy
Time  72 :  Santa John  retrieving from sleigh: dinosaur boy
Time  72 :  Santa John  retrieving from sleigh: whistle girl
Time  73 :  Santa John  Walking back to grotto
Time  73 :  Santa John  giving to children: fake tattoo boy
Time  74 :  Santa John  giving to children: whistle girl
Time  74 :  Santa John  giving to children: fake tattoo boy
Time  75 :  Santa John  giving to children: whistle girl
Time  76 :  Santa John  giving to children: dinosaur boy
Time  76 :  Santa John  giving to children: fake tattoo boy
Time  76 :  Santa John  giving to children: whistle girl
Time  76 :  Santa John  giving to children: fake tattoo boy
Time  76 :  Santa John  giving to children: dinosaur boy
Time  77 :  Santa John  giving to children: whistle girl
Time: 78 :  Santa John  Walking to toy department
Time  78 :  Santa John  retrieving from sleigh: bracelet boy
Time  78 :  Santa John  retrieving from sleigh: dinosaur boy
Time  79 :  Santa John  retrieving from sleigh: dinosaur girl
Time  80 :  Santa John  retrieving from sleigh: doll boy
Time  81 :  Santa John  retrieving from sleigh: bracelet boy
Time  81 :  Santa John  retrieving from sleigh: bracelet boy
Time  81 :  Santa John  retrieving from sleigh: doll boy
Time  81 :  Santa John  retrieving from sleigh: dinosaur girl
Time  82 :  Santa John  retrieving from sleigh: train boy
Time  82 :  Santa John  retrieving from sleigh: doll boy
Time  83 :  Santa John  Walking back to grotto
Time  84 :  Santa John  giving to children: bracelet boy
Time  84 :  Santa John  giving to children: dinosaur boy
Time  84 :  Santa John  giving to children: dinosaur girl
Time  85 :  Santa John  giving to children: doll boy
Time  85 :  Santa John  giving to children: bracelet boy
Time  86 :  Santa John  giving to children: bracelet boy
Time  86 :  Santa John  giving to children: doll boy
Time  87 :  Santa John  giving to children: dinosaur girl
Time  87 :  Santa John  giving to children: train boy
Time  88 :  Santa John  giving to children: doll boy
Time: 89 :  Santa John  Walking to toy department
Time  89 :  Santa John  retrieving from sleigh: train girl
Time  90 :  Santa John  retrieving from sleigh: dinosaur boy
Time  90 :  Santa John  retrieving from sleigh: dinosaur boy
Time  90 :  Santa John  retrieving from sleigh: fake tattoo boy
Time  90 :  Santa John  retrieving from sleigh: dinosaur girl
Time  91 :  Santa John  retrieving from sleigh: dinosaur boy
Time  91 :  Santa John  retrieving from sleigh: whistle girl
Time  91 :  Santa John  retrieving from sleigh: train girl
Time  93 :  Santa John  retrieving from sleigh: fake tattoo boy
Time  93 :  Santa John  retrieving from sleigh: doll girl
Time  94 :  Santa John  Walking back to grotto
Time  94 :  Santa John  giving to children: train girl
Time  95 :  Santa John  giving to children: dinosaur boy
Time  96 :  Santa John  giving to children: dinosaur boy
Time  96 :  Santa John  giving to children: fake tattoo boy
Time  96 :  Santa John  giving to children: dinosaur girl
Time  97 :  Santa John  giving to children: dinosaur boy
Time  97 :  Santa John  giving to children: whistle girl
Time  98 :  Santa John  giving to children: train girl
Time  99 :  Santa John  giving to children: fake tattoo boy
Time  99 :  Santa John  giving to children: doll girl
Time: 100 :  Santa John  Walking to toy department
Time  100 :  Santa John  retrieving from sleigh: bracelet boy
Time  100 :  Santa John  retrieving from sleigh: train girl
Time  100 :  Santa John  retrieving from sleigh: doll girl
Time  100 :  Santa John  retrieving from sleigh: dinosaur boy
Time  100 :  Santa John  retrieving from sleigh: fake tattoo girl
Time  100 :  Santa John  retrieving from sleigh: doll girl
Time  101 :  Santa John  retrieving from sleigh: train girl
Time  101 :  Santa John  retrieving from sleigh: whistle girl
Time  101 :  Santa John  retrieving from sleigh: bracelet girl
Time  101 :  Santa John  retrieving from sleigh: doll girl
Time  102 :  Santa John  Walking back to grotto
Time  103 :  Santa John  giving to children: bracelet boy
Time  104 :  Santa John  giving to children: train girl
Time  104 :  Santa John  giving to children: doll girl
Time  105 :  Santa John  giving to children: dinosaur boy
Time  106 :  Santa John  giving to children: fake tattoo girl
Time  106 :  Santa John  giving to children: doll girl
Time  107 :  Santa John  giving to children: train girl
Time  108 :  Santa John  giving to children: whistle girl
Time  109 :  Santa John  giving to children: bracelet girl
Time  110 :  Santa John  giving to children: doll girl
Time: 111 :  Santa John  Walking to toy department
Time  111 :  Santa John  retrieving from sleigh: bracelet girl
Time  111 :  Santa John  retrieving from sleigh: train boy
Time  111 :  Santa John  retrieving from sleigh: train boy
Time  111 :  Santa John  retrieving from sleigh: doll boy
Time  111 :  Santa John  retrieving from sleigh: bracelet girl
Time  111 :  Santa John  retrieving from sleigh: bracelet boy
Time  111 :  Santa John  retrieving from sleigh: whistle girl
Time  111 :  Santa John  retrieving from sleigh: train boy
Time  111 :  Santa John  retrieving from sleigh: bracelet boy
Time  111 :  Santa John  retrieving from sleigh: doll boy
Time  112 :  Santa John  Walking back to grotto
Time  113 :  Santa John  giving to children: bracelet girl
Time  114 :  Santa John  giving to children: train boy
Time  114 :  Santa John  giving to children: train boy
Time  115 :  Santa John  giving to children: doll boy
Time  116 :  Santa John  giving to children: bracelet girl
Time  116 :  Santa John  giving to children: bracelet boy
Time  116 :  Santa John  giving to children: whistle girl
Time  116 :  Santa John  giving to children: train boy
Time  117 :  Santa John  giving to children: bracelet boy
Time  117 :  Santa John  giving to children: doll boy
Time: 118 :  Santa John  Walking to toy department
Time  119 :  Santa John  retrieving from sleigh: doll boy
Time  119 :  Santa John  retrieving from sleigh: train girl
Time  119 :  Santa John  retrieving from sleigh: doll boy
Time  119 :  Santa John  retrieving from sleigh: fake tattoo girl
Time  120 :  Santa John  retrieving from sleigh: doll boy
Time  120 :  Santa John  retrieving from sleigh: dinosaur girl
Time  121 :  Santa John  retrieving from sleigh: train girl
Time  122 :  Santa John  retrieving from sleigh: dinosaur girl
Time  122 :  Santa John  retrieving from sleigh: dinosaur girl
Time  122 :  Santa John  retrieving from sleigh: dinosaur boy
Time  123 :  Santa John  Walking back to grotto
Time  124 :  Santa John  giving to children: doll boy
Time  125 :  Santa John  giving to children: train girl
Time  126 :  Santa John  giving to children: doll boy
Time  126 :  Santa John  giving to children: fake tattoo girl
Time  126 :  Santa John  giving to children: doll boy
Time  127 :  Santa John  giving to children: dinosaur girl
Time  128 :  Santa John  giving to children: train girl
Time  128 :  Santa John  giving to children: dinosaur girl
Time  129 :  Santa John  giving to children: dinosaur girl
Time  129 :  Santa John  giving to children: dinosaur boy
Time: 130 :  Santa John  Walking to toy department
Time  130 :  Santa John  retrieving from sleigh: doll girl
Time  130 :  Santa John  retrieving from sleigh: doll girl
Time  130 :  Santa John  retrieving from sleigh: whistle boy
Time  130 :  Santa John  retrieving from sleigh: train boy
Time  131 :  Santa John  retrieving from sleigh: doll boy
Time  131 :  Santa John  retrieving from sleigh: bracelet boy
Time  131 :  Santa John  retrieving from sleigh: dinosaur girl
Time  131 :  Santa John  retrieving from sleigh: fake tattoo girl
Time  132 :  Santa John  retrieving from sleigh: whistle girl
Time  132 :  Santa John  retrieving from sleigh: train boy
Time  133 :  Santa John  Walking back to grotto
Time  133 :  Santa John  giving to children: doll girl
Time  134 :  Santa John  giving to children: doll girl
Time  135 :  Santa John  giving to children: whistle boy
Time  135 :  Santa John  giving to children: train boy
Time  136 :  Santa John  giving to children: doll boy
Time  137 :  Santa John  giving to children: bracelet boy
Time  137 :  Santa John  giving to children: dinosaur girl
Time  138 :  Santa John  giving to children: fake tattoo girl
Time  138 :  Santa John  giving to children: whistle girl
Time  139 :  Santa John  giving to children: train boy
Time: 140 :  Santa John  Walking to toy department
Time  140 :  Santa John  retrieving from sleigh: whistle boy
Time  140 :  Santa John  retrieving from sleigh: bracelet boy
Time  140 :  Santa John  retrieving from sleigh: dinosaur girl
Time  140 :  Santa John  retrieving from sleigh: bracelet girl
Time  141 :  Santa John  retrieving from sleigh: train girl
Time  141 :  Santa John  retrieving from sleigh: whistle boy
Time  141 :  Santa John  retrieving from sleigh: fake tattoo girl
Time  141 :  Santa John  retrieving from sleigh: bracelet boy
Time  142 :  Santa John  retrieving from sleigh: bracelet boy
Time  142 :  Santa John  retrieving from sleigh: doll girl
Time  143 :  Santa John  Walking back to grotto
Time  144 :  Santa John  giving to children: whistle boy
Time  144 :  Santa John  giving to children: bracelet boy
Time  144 :  Santa John  giving to children: dinosaur girl
Time  144 :  Santa John  giving to children: bracelet girl
Time  145 :  Santa John  giving to children: train girl
Time  146 :  Santa John  giving to children: whistle boy
Time  147 :  Santa John  giving to children: fake tattoo girl
Time  147 :  Santa John  giving to children: bracelet boy
Time  148 :  Santa John  giving to children: bracelet boy
Time  148 :  Santa John  giving to children: doll girl
Time: 149 :  Santa John  Walking to toy department
Time  150 :  Santa John  retrieving from sleigh: train boy
Time  151 :  Santa John  retrieving from sleigh: doll girl
Time  151 :  Santa John  retrieving from sleigh: dinosaur girl
Time  151 :  Santa John  retrieving from sleigh: fake tattoo girl
Time  151 :  Santa John  retrieving from sleigh: bracelet boy
Time  152 :  Santa John  retrieving from sleigh: doll girl
Time  152 :  Santa John  retrieving from sleigh: bracelet girl
Time  152 :  Santa John  retrieving from sleigh: doll girl
Time  153 :  Santa John  retrieving from sleigh: whistle boy
Time  153 :  Santa John  retrieving from sleigh: doll boy
Time  154 :  Santa John  Walking back to grotto
Time  155 :  Santa John  giving to children: train boy
Time  155 :  Santa John  giving to children: doll girl
Time  156 :  Santa John  giving to children: dinosaur girl
Time  156 :  Santa John  giving to children: fake tattoo girl
Time  157 :  Santa John  giving to children: bracelet boy
Time  157 :  Santa John  giving to children: doll girl
Time  157 :  Santa John  giving to children: bracelet girl
Time  158 :  Santa John  giving to children: doll girl
Time  159 :  Santa John  giving to children: whistle boy
Time  159 :  Santa John  giving to children: doll boy
Time: 160 :  Santa John  Walking to toy department
Time  160 :  Santa John  retrieving from sleigh: doll boy
Time  161 :  Santa John  retrieving from sleigh: train girl
Time  161 :  Santa John  retrieving from sleigh: fake tattoo girl
Time  162 :  Santa John  retrieving from sleigh: whistle girl
Time  162 :  Santa John  retrieving from sleigh: train girl
Time  162 :  Santa John  retrieving from sleigh: fake tattoo boy
Time  162 :  Santa John  retrieving from sleigh: dinosaur girl
Time  163 :  Santa John  retrieving from sleigh: doll boy
Time  163 :  Santa John  retrieving from sleigh: bracelet boy
Time  163 :  Santa John  retrieving from sleigh: fake tattoo boy
Time  164 :  Santa John  Walking back to grotto
Time  165 :  Santa John  giving to children: doll boy
Time  165 :  Santa John  giving to children: train girl
