Time  58 :  Santa Nick  retrieving from sleigh: fake tattoo girl
Time  59 :  Santa Nick  retrieving from sleigh: train boy
Time  59 :  Santa Nick  retrieving from sleigh: doll boy
Time  59 :  Santa Nick  retrieving from sleigh: doll boy
Time  59 :  Santa Nick  retrieving from sleigh: doll boy
Time  60 :  Santa Nick  Walking back to grotto
Time  61 :  Santa Nick  giving to children: fake tattoo girl
Time  62 :  Santa Nick  giving to children: train girl
Time  62 :  Santa Nick  giving to children: doll boy
Time  62 :  Santa Nick  giving to children: bracelet boy
Time  62 :  Santa Nick  giving to children: fake tattoo girl
Time  63 :  Santa Nick  giving to children: fake tattoo girl
Time  64 :  Santa Nick  giving to children: train boy
Time  65 :  Santa Nick  giving to children: doll boy
Time  65 :  Santa Nick  giving to children: doll boy
Time  65 :  Santa Nick  giving to children: doll boy
Time: 66 :  Santa Nick  Walking to toy department
Time  67 :  Santa Nick  retrieving from sleigh: dinosaur boy
Time  67 :  Santa Nick  retrieving from sleigh: dinosaur girl
Time  67 :  Santa Nick  retrieving from sleigh: train boy
Time  67 :  Santa Nick  retrieving from sleigh: whistle girl
Time  67 :  Santa Nick  retrieving from sleigh: whistle girl
Time  68 :  Santa Nick  retrieving from sleigh: train boy
Time  68 :  Santa Nick  retrieving from sleigh: fake tattoo girl
Time  68 :  Santa Nick  retrieving from sleigh: fake tattoo girl
Time  69 :  Santa Nick  retrieving from sleigh: bracelet girl
Time  69 :  Santa Nick  retrieving from sleigh: doll boy
Time  70 :  Santa Nick  Walking back to grotto
Time  70 :  Santa Nick  giving to children: dinosaur boy
Time  71 :  Santa Nick  giving to children: dinosaur girl
Time  72 :  Santa Nick  giving to children: train boy
Time  73 :  Santa Nick  giving to children: whistle girl
Time  73 :  Santa Nick  giving to children: whistle girl
Time  74 :  Santa Nick  giving to children: train boy
Time  75 :  Santa Nick  giving to children: fake tattoo girl
Time  75 :  Santa Nick  giving to children: fake tattoo girl
Time  76 :  Santa Nick  giving to children: bracelet girl
Time  76 :  Santa Nick  giving to children: doll boy
Time: 77 :  Santa Nick  Walking to toy department
Time  77 :  Santa Nick  retrieving from sleigh: dinosaur girl
Time  77 :  Santa Nick  retrieving from sleigh: bracelet boy
Time  77 :  Santa Nick  retrieving from sleigh: fake tattoo girl
Time  77 :  Santa Nick  retrieving from sleigh: fake tattoo girl
Time  77 :  Santa Nick  retrieving from sleigh: fake tattoo boy
Time  78 :  Santa Nick  retrieving from sleigh: train girl
Time  79 :  Santa Nick  retrieving from sleigh: train boy
Time  79 :  Santa Nick  retrieving from sleigh: fake tattoo boy
Time  80 :  Santa Nick  retrieving from sleigh: whistle boy
Time  81 :  Santa Nick  retrieving from sleigh: dinosaur girl
Time  82 :  Santa Nick  Walking back to grotto
Time  82 :  Santa Nick  giving to children: dinosaur girl
Time  83 :  Santa Nick  giving to children: bracelet boy
Time  84 :  Santa Nick  giving to children: fake tattoo girl
Time  84 :  Santa Nick  giving to children: fake tattoo girl
Time  85 :  Santa Nick  giving to children: fake tattoo boy
Time  85 :  Santa Nick  giving to children: train girl
Time  86 :  Santa Nick  giving to children: train boy
Time  87 :  Santa Nick  giving to children: fake tattoo boy
Time  87 :  Santa Nick  giving to children: whistle boy
Time  88 :  Santa Nick  giving to children: dinosaur girl
Time: 89 :  Santa Nick  Walking to toy department
Time  89 :  Santa Nick  retrieving from sleigh: train girl
Time  89 :  Santa Nick  retrieving from sleigh: fake tattoo boy
Time  89 :  Santa Nick  retrieving from sleigh: train girl
Time  89 :  Santa Nick  retrieving from sleigh: train boy
Time  89 :  Santa Nick  retrieving from sleigh: fake tattoo boy
Time  89 :  Santa Nick  retrieving from sleigh: fake tattoo boy
Time  89 :  Santa Nick  retrieving from sleigh: fake tattoo boy
Time  89 :  Santa Nick  retrieving from sleigh: fake tattoo boy
Time  89 :  Santa Nick  retrieving from sleigh: train girl
Time  89 :  Santa Nick  retrieving from sleigh: fake tattoo girl
Time  90 :  Santa Nick  Walking back to grotto
Time  91 :  Santa Nick  giving to children: train girl
Time  92 :  Santa Nick  giving to children: fake tattoo boy
Time  92 :  Santa Nick  giving to children: train girl
Time  93 :  Santa Nick  giving to children: train boy
Time  94 :  Santa Nick  giving to children: fake tattoo boy
Time  94 :  Santa Nick  giving to children: fake tattoo boy
Time  94 :  Santa Nick  giving to children: fake tattoo boy
Time  95 :  Santa Nick  giving to children: fake tattoo boy
Time  95 :  Santa Nick  giving to children: train girl
Time  96 :  Santa Nick  giving to children: fake tattoo girl
Time: 97 :  Santa Nick  Walking to toy department
Time  97 :  Santa Nick  retrieving from sleigh: train boy
Time  97 :  Santa Nick  retrieving from sleigh: whistle girl
Time  97 :  Santa Nick  retrieving from sleigh: fake tattoo girl
Time  97 :  Santa Nick  retrieving from sleigh: train boy
Time  97 :  Santa Nick  retrieving from sleigh: doll girl
Time  97 :  Santa Nick  retrieving from sleigh: whistle girl
Time  97 :  Santa Nick  retrieving from sleigh: train girl
Time  97 :  Santa Nick  retrieving from sleigh: doll boy
Time  98 :  Santa Nick  retrieving from sleigh: dinosaur boy
Time  98 :  Santa Nick  retrieving from sleigh: bracelet boy
Time  99 :  Santa Nick  Walking back to grotto
Time  99 :  Santa Nick  giving to children: train boy
Time  100 :  Santa Nick  giving to children: whistle girl
Time  100 :  Santa Nick  giving to children: fake tattoo girl
Time  100 :  Santa Nick  giving to children: train boy
Time  100 :  Santa Nick  giving to children: doll girl
Time  101 :  Santa Nick  giving to children: whistle girl
Time  101 :  Santa Nick  giving to children: train girl
Time  101 :  Santa Nick  giving to children: doll boy
Time  101 :  Santa Nick  giving to children: dinosaur boy
Time  102 :  Santa Nick  giving to children: bracelet boy
Time: 103 :  Santa Nick  Walking to toy department
Time  103 :  Santa Nick  retrieving from sleigh: doll boy
Time  103 :  Santa Nick  retrieving from sleigh: whistle girl
Time  104 :  Santa Nick  retrieving from sleigh: fake tattoo girl
Time  105 :  Santa Nick  retrieving from sleigh: bracelet girl
Time  105 :  Santa Nick  retrieving from sleigh: fake tattoo boy
Time  106 :  Santa Nick  retrieving from sleigh: train girl
Time  107 :  Santa Nick  retrieving from sleigh: doll girl
Time  107 :  Santa Nick  retrieving from sleigh: dinosaur boy
Time  108 :  Santa Nick  retrieving from sleigh: whistle boy
Time  108 :  Santa Nick  retrieving from sleigh: fake tattoo boy
Time  109 :  Santa Nick  Walking back to grotto
Time  110 :  Santa Nick  giving to children: doll boy
Time  110 :  Santa Nick  giving to children: whistle girl
Time  111 :  Santa Nick  giving to children: fake tattoo girl
Time  112 :  Santa Nick  giving to children: bracelet girl
Time  112 :  Santa Nick  giving to children: fake tattoo boy
Time  113 :  Santa Nick  giving to children: train girl
Time  114 :  Santa Nick  giving to children: doll girl
Time  114 :  Santa Nick  giving to children: dinosaur boy
Time  115 :  Santa Nick  giving to children: whistle boy
Time  115 :  Santa Nick  giving to children: fake tattoo boy
Time: 116 :  Santa Nick  Walking to toy department
Time  116 :  Santa Nick  retrieving from sleigh: fake tattoo boy
Time  116 :  Santa Nick  retrieving from sleigh: dinosaur boy
Time  116 :  Santa Nick  retrieving from sleigh: bracelet boy
Time  116 :  Santa Nick  retrieving from sleigh: whistle boy
Time  117 :  Santa Nick  retrieving from sleigh: train girl
Time  117 :  Santa Nick  retrieving from sleigh: doll boy
Time  117 :  Santa Nick  retrieving from sleigh: dinosaur boy
Time  118 :  Santa Nick  retrieving from sleigh: whistle boy
Time  118 :  Santa Nick  retrieving from sleigh: fake tattoo girl
Time  119 :  Santa Nick  retrieving from sleigh: dinosaur boy
Time  120 :  Santa Nick  Walking back to grotto
Time  120 :  Santa Nick  giving to children: fake tattoo boy
Time  120 :  Santa Nick  giving to children: dinosaur boy
Time  121 :  Santa Nick  giving to children: bracelet boy
Time  121 :  Santa Nick  giving to children: whistle boy
Time  122 :  Santa Nick  giving to children: train girl
Time  123 :  Santa Nick  giving to children: doll boy
Time  123 :  Santa Nick  giving to children: dinosaur boy
Time  124 :  Santa Nick  giving to children: whistle boy
Time  125 :  Santa Nick  giving to children: fake tattoo girl
Time  125 :  Santa Nick  giving to children: dinosaur boy
Time: 126 :  Santa Nick  Walking to toy department
Time  126 :  Santa Nick  retrieving from sleigh: dinosaur girl
Time  126 :  Santa Nick  retrieving from sleigh: dinosaur girl
Time  126 :  Santa Nick  retrieving from sleigh: fake tattoo girl
Time  126 :  Santa Nick  retrieving from sleigh: whistle girl
Time  126 :  Santa Nick  retrieving from sleigh: whistle girl
Time  127 :  Santa Nick  retrieving from sleigh: whistle girl
Time  128 :  Santa Nick  retrieving from sleigh: whistle girl
Time  128 :  Santa Nick  retrieving from sleigh: doll girl
Time  128 :  Santa Nick  retrieving from sleigh: train girl
Time  129 :  Santa Nick  retrieving from sleigh: whistle boy
Time  130 :  Santa Nick  Walking back to grotto
Time  130 :  Santa Nick  giving to children: dinosaur girl
Time  131 :  Santa Nick  giving to children: dinosaur girl
Time  131 :  Santa Nick  giving to children: fake tattoo girl
Time  132 :  Santa Nick  giving to children: whistle girl
Time  132 :  Santa Nick  giving to children: whistle girl
Time  133 :  Santa Nick  giving to children: whistle girl
Time  133 :  Santa Nick  giving to children: whistle girl
Time  133 :  Santa Nick  giving to children: doll girl
Time  134 :  Santa Nick  giving to children: train girl
Time  135 :  Santa Nick  giving to children: whistle boy
Time: 136 :  Santa Nick  Walking to toy department
Time  136 :  Santa Nick  retrieving from sleigh: dinosaur girl
Time  136 :  Santa Nick  retrieving from sleigh: dinosaur boy
Time  136 :  Santa Nick  retrieving from sleigh: dinosaur girl
Time  136 :  Santa Nick  retrieving from sleigh: whistle girl
Time  137 :  Santa Nick  retrieving from sleigh: bracelet boy
Time  137 :  Santa Nick  retrieving from sleigh: train boy
Time  138 :  Santa Nick  retrieving from sleigh: dinosaur girl
Time  138 :  Santa Nick  retrieving from sleigh: bracelet girl
Time  138 :  Santa Nick  retrieving from sleigh: train boy
Time  138 :  Santa Nick  retrieving from sleigh: fake tattoo boy
Time  139 :  Santa Nick  Walking back to grotto
Time  139 :  Santa Nick  giving to children: dinosaur girl
Time  139 :  Santa Nick  giving to children: dinosaur boy
Time  140 :  Santa Nick  giving to children: dinosaur girl
Time  140 :  Santa Nick  giving to children: whistle girl
Time  141 :  Santa Nick  giving to children: bracelet boy
Time  141 :  Santa Nick  giving to children: train boy
Time  141 :  Santa Nick  giving to children: dinosaur girl
Time  142 :  Santa Nick  giving to children: bracelet girl
Time  142 :  Santa Nick  giving to children: train boy
Time  143 :  Santa Nick  giving to children: fake tattoo boy
Time: 144 :  Santa Nick  Walking to toy department
Time  144 :  Santa Nick  retrieving from sleigh: bracelet girl
Time  145 :  Santa Nick  retrieving from sleigh: fake tattoo girl
Time  146 :  Santa Nick  retrieving from sleigh: fake tattoo boy
Time  146 :  Santa Nick  retrieving from sleigh: bracelet boy
Time  147 :  Santa Nick  retrieving from sleigh: whistle boy
Time  148 :  Santa Nick  retrieving from sleigh: fake tattoo girl
Time  149 :  Santa Nick  retrieving from sleigh: fake tattoo boy
Time  149 :  Santa Nick  retrieving from sleigh: bracelet boy
Time  150 :  Santa Nick  retrieving from sleigh: train girl
Time  150 :  Santa Nick  retrieving from sleigh: train boy
Time  151 :  Santa Nick  Walking back to grotto
Time  151 :  Santa Nick  giving to children: bracelet girl
Time  152 :  Santa Nick  giving to children: fake tattoo girl
Time  152 :  Santa Nick  giving to children: fake tattoo boy
Time  152 :  Santa Nick  giving to children: bracelet boy
Time  152 :  Santa Nick  giving to children: whistle boy
Time  153 :  Santa Nick  giving to children: fake tattoo girl
Time  153 :  Santa Nick  giving to children: fake tattoo boy
Time  153 :  Santa Nick  giving to children: bracelet boy
Time  154 :  Santa Nick  giving to children: train girl
Time  155 :  Santa Nick  giving to children: train boy
Time: 156 :  Santa Nick  Walking to toy department
Time  157 :  Santa Nick  retrieving from sleigh: train boy
Time  157 :  Santa Nick  retrieving from sleigh: doll boy
